University Name,Country,Region
Tokyo Zokei University,17,5
Toyo University,17,5
†Toyoko Gakuen Women's College,17,5
Tsuda College,17,5
†Tsurukawa Women's Junior College,17,5
United Nations University,17,5
University of Electro-Communications,17,5
University of the Sacred Heart,17,5
University of Tokyo,17,5
Waseda University,17,5
Yamano College of Aesthetics,17,5
Yamazaki College of Animal Health Technology,17,5
Tottori College,17,5
Tottori University,17,5
Tottori University of Environmental Studies,17,5
Takaoka University of Law,17,5
Toyama College,17,5
Toyama College of Welfare Science,17,5
Toyama Prefectural University,17,5
Toyama University of International Studies,17,5
†Toyama Women's College,17,5
University of Toyama,17,5
Koyasan University,17,5
Wakayama Medical University,17,5
†Wakayama Shin-Ai Women's Junior College,17,5
Tohoku University of Art & Design,17,5
Tohoku University of Community Service and Science,17,5
Uyo Gakuen College,17,5
Yamagata Junior College,17,5
Yamagata Prefectural University of Health Sciences,17,5
Yamagata University,17,5
Yonezawa Women's Junior College,17,5
Baiko Gakuin University,17,5
Iwakuni Junior College,17,5
Shimonoseki City University,17,5
Shimonoseki Junior College,17,5
Tokuyama University,17,5
"Tokyo University of Science, Yamaguchi",17,5
Ube Frontier University,17,5
University of East Asia (Toua Daigaku),17,5
Yamaguchi College of Arts,17,5
Yamaguchi Gakugei College,17,5
Yamaguchi Junior College,17,5
Yamaguchi Prefectural University,17,5
Yamaguchi University,17,5
Yamaguchi University of Human Welfare and Culture,17,5
Health Science University,17,5
Minobusan University,17,5
Teikyo University of Science & Technology,17,5
Teikyougakuen Junior College,17,5
Tsuru University,17,5
Yamanashi Eiwa University,17,5
Yamanashi Gakuin University,17,5
Yamanashi Prefectural University,17,5
Yamanashi University,17,5
